Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,M,F,Net,Lab,,M,F,Net,LD,,M,F,Net,Con lead,,
,Apr,30-2,30/04/2010,3,ICM,GU,33,-3,,,,28,-1,,,,28,1,,,,5,-2,Phone
,Apr,30-2,30/04/2010,3,RNB,,37,,,,,28,,,,,26,,,,,9,,
,Apr,30-3,30/04/2010,4,Opinium,Express,33,-1,32,34,-2,28,3,28,28,0,27,-1,25,29,-4,5,-4,
,May,1-2,01/05/2010,3,YouGov,Sun,34,-1,34,35,-1,28,1,26,29,-3,29,1,29,28,1,6,-2,Internet
,May,1-2,01/05/2010,4,ComRes,ITV/Ind,37,-1,38,35,3,29,1,28,30,-2,26,1,26,26,0,8,-2,Phone
,May,2-3,02/05/2010,4,YouGov,Sun,35,1,35,35,0,28,0,26,30,-4,28,-1,29,26,3,7,1,Internet
,May,2-3,02/05/2010,5,ComRes,ITV/Ind,37,0,39,35,4,29,0,28,30,-2,26,0,26,25,1,8,0,Phone
,May,3-4,03/05/2010,5,YouGov,Sun,35,0,35,35,0,30,2,27,33,-6,24,-4,26,22,4,5,-2,Internet
,May,3-4,03/05/2010,6,ICM,GU,36,3,,,,28,0,,,,26,-2,,,,8,3,Phone
,May,4-5,04/05/2010,5,Angus RS,PB,36,1,35,37,-2,24,1,24,23,1,29,0,28,30,-2,12,0,Internet
,May,4-5,04/05/2010,6,Populus,TT,37,1,,,,28,1,,,,27,-1,,,,9,0,Phone
,May,4-5,04/05/2010,6,Harris,DM,35,2,33,36,-3,29,5,29,28,1,27,-5,26,28,-2,6,-3,Internet
,May,4-5,04/05/2010,6,YouGov,Sun,35,0,33,37,-4,28,-2,29,28,1,28,4,28,27,1,7,2,Internet
,May,4-5,04/05/2010,6,Opinium,Express,35,2,35,35,0,27,-1,27,27,0,26,-1,24,29,-5,8,3,
,May,4-5,04/05/2010,6,ComRes,ITV/Ind,37,0,39,35,4,28,-1,24,32,-8,28,2,26,29,-3,9,1,Phone
,May,5,05/05/2010,6,MORI,ES,36,0,34,37,-3,29,-1,26,34,-8,27,4,31,22,9,7,1,Phone
